date,state,district,new_enrolments,update_requests,address_updates,mobile_updates,biometric_updates,active_centres,operators,service_hours,failures
2024-06-06,Karnataka,Bengaluru Urban,153,300,92,113,95,13,26,7,5
2024-06-07,Karnataka,Bengaluru Urban,159,278,96,97,85,7,28,9,5
2024-06-08,Karnataka,Bengaluru Urban,149,300,97,96,107,9,27,6,10
2024-06-09,Karnataka,Bengaluru Urban,139,308,119,106,83,14,28,7,11
2024-06-10,Karnataka,Bengaluru Urban,155,274,75,109,90,12,36,7,0
2024-06-11,Karnataka,Bengaluru Urban,147,302,101,123,78,7,21,7,12
2024-06-12,Karnataka,Bengaluru Urban,149,302,91,141,70,14,42,7,0
2024-06-13,Karnataka,Bengaluru Urban,160,310,103,117,90,7,21,9,14
2024-06-14,Karnataka,Bengaluru Urban,139,273,69,98,106,6,18,6,19
2024-06-15,Karnataka,Bengaluru Urban,160,273,85,104,84,6,24,8,10
2024-06-16,Karnataka,Bengaluru Urban,150,297,103,143,51,8,32,6,3
2024-06-17,Karnataka,Bengaluru Urban,138,297,98,141,58,15,45,7,0
2024-06-18,Karnataka,Bengaluru Urban,138,283,112,103,68,12,36,7,0
2024-06-19,Karnataka,Bengaluru Urban,150,266,94,127,45,9,36,6,0
2024-06-20,Karnataka,Bengaluru Urban,157,267,94,115,58,6,24,6,7
2024-06-21,Karnataka,Bengaluru Urban,154,289,80,92,117,14,28,6,3
2024-06-22,Karnataka,Bengaluru Urban,148,289,98,109,82,10,40,8,0
2024-06-23,Karnataka,Bengaluru Urban,139,297,101,140,56,6,18,7,21
2024-06-24,Karnataka,Bengaluru Urban,147,292,104,88,100,15,30,7,6
2024-06-25,Karnataka,Bengaluru Urban,146,294,93,137,64,5,10,8,18
2024-06-26,Karnataka,Bengaluru Urban,151,255,88,113,54,6,12,8,22
2024-06-27,Karnataka,Bengaluru Urban,136,275,100,101,74,11,22,7,10
2024-06-28,Karnataka,Bengaluru Urban,142,275,90,83,102,10,40,9,0
2024-06-29,Karnataka,Bengaluru Urban,131,293,111,123,59,8,32,8,4
2024-06-30,Karnataka,Bengaluru Urban,148,299,87,103,109,11,44,9,0
2024-07-01,Karnataka,Bengaluru Urban,144,274,76,108,90,12,24,8,11
2024-07-02,Karnataka,Bengaluru Urban,140,294,106,111,77,7,21,9,6
2024-07-03,Karnataka,Bengaluru Urban,148,263,90,117,56,7,28,6,3
2024-07-04,Karnataka,Bengaluru Urban,126,271,93,110,68,5,10,7,25
2024-07-05,Karnataka,Bengaluru Urban,137,264,100,94,70,9,27,6,5
2024-07-06,Karnataka,Bengaluru Urban,149,271,101,126,44,12,48,8,0
2024-07-07,Karnataka,Bengaluru Urban,136,268,95,101,72,5,10,7,23
2024-07-08,Karnataka,Bengaluru Urban,146,269,76,82,111,14,42,8,0
2024-07-09,Karnataka,Bengaluru Urban,124,250,68,100,82,7,28,6,2
2024-07-10,Karnataka,Bengaluru Urban,129,249,76,113,60,5,20,6,5
2024-07-11,Karnataka,Bengaluru Urban,148,250,75,119,56,10,30,9,1
2024-07-12,Karnataka,Bengaluru Urban,128,273,81,84,108,6,12,6,9
2024-07-13,Karnataka,Bengaluru Urban,147,278,86,128,64,10,30,9,4
2024-07-14,Karnataka,Bengaluru Urban,139,275,108,135,32,8,16,6,11
2024-07-15,Karnataka,Bengaluru Urban,121,237,68,92,77,6,18,7,13
2024-07-16,Karnataka,Bengaluru Urban,144,285,102,102,81,10,40,9,0
2024-07-17,Karnataka,Bengaluru Urban,120,236,72,84,80,7,28,6,0
2024-07-18,Karnataka,Bengaluru Urban,120,235,64,89,82,14,28,9,0
2024-07-19,Karnataka,Bengaluru Urban,139,258,102,78,78,10,40,7,0
2024-07-20,Karnataka,Bengaluru Urban,136,264,84,87,93,6,24,9,7
2024-07-21,Karnataka,Bengaluru Urban,128,235,83,97,55,15,45,7,0
2024-07-22,Karnataka,Bengaluru Urban,121,263,75,109,79,12,36,8,0
2024-07-23,Karnataka,Bengaluru Urban,139,239,72,102,65,7,28,6,1
2024-07-24,Karnataka,Bengaluru Urban,132,277,106,128,43,12,48,8,0
2024-07-25,Karnataka,Bengaluru Urban,141,251,98,109,44,15,60,9,0
2024-07-26,Karnataka,Bengaluru Urban,116,246,92,81,73,11,22,6,9
2024-07-27,Karnataka,Bengaluru Urban,121,227,87,106,34,7,21,8,6
2024-07-28,Karnataka,Bengaluru Urban,121,250,74,83,93,8,24,6,6
2024-07-29,Karnataka,Bengaluru Urban,122,253,81,91,81,10,20,8,7
2024-07-30,Karnataka,Bengaluru Urban,115,269,70,125,74,13,52,9,0
2024-07-31,Karnataka,Bengaluru Urban,125,244,86,86,72,5,20,8,6
2024-08-01,Karnataka,Bengaluru Urban,137,226,63,67,96,6,18,9,6
2024-08-02,Karnataka,Bengaluru Urban,131,241,64,98,79,8,16,6,14
2024-08-03,Karnataka,Bengaluru Urban,134,247,91,107,49,6,24,7,3
2024-08-04,Karnataka,Bengaluru Urban,131,228,57,103,68,10,40,9,0
2024-08-05,Karnataka,Bengaluru Urban,136,222,64,83,75,9,18,7,6
2024-08-06,Karnataka,Bengaluru Urban,126,218,73,68,77,14,28,6,0
2024-08-07,Karnataka,Bengaluru Urban,125,221,66,77,78,5,10,6,13
2024-08-08,Karnataka,Bengaluru Urban,120,226,82,71,73,13,39,7,0
2024-08-09,Karnataka,Bengaluru Urban,135,237,83,71,83,11,44,6,0
2024-08-10,Karnataka,Bengaluru Urban,122,260,90,92,78,10,30,7,1
2024-08-11,Karnataka,Bengaluru Urban,110,256,85,87,84,5,15,9,11
2024-08-12,Karnataka,Bengaluru Urban,126,217,71,91,55,8,16,8,6
2024-08-13,Karnataka,Bengaluru Urban,129,239,82,98,59,5,20,6,4
2024-08-14,Karnataka,Bengaluru Urban,119,221,69,92,60,10,40,6,0
2024-08-15,Karnataka,Bengaluru Urban,113,229,84,81,64,14,56,6,0
2024-08-16,Karnataka,Bengaluru Urban,133,229,58,114,57,5,10,9,9
2024-08-17,Karnataka,Bengaluru Urban,114,236,77,94,65,8,24,9,2
2024-08-18,Karnataka,Bengaluru Urban,129,230,76,78,76,13,26,9,2
2024-08-19,Karnataka,Bengaluru Urban,107,226,70,76,80,13,26,8,1
2024-08-20,Karnataka,Bengaluru Urban,122,222,77,87,58,9,27,9,0
2024-08-21,Karnataka,Bengaluru Urban,127,242,92,89,61,13,52,7,0
2024-08-22,Karnataka,Bengaluru Urban,125,220,79,89,52,12,36,6,0
2024-08-23,Karnataka,Bengaluru Urban,123,213,68,65,80,7,21,7,3
2024-08-24,Karnataka,Bengaluru Urban,127,247,90,76,81,12,24,8,3
2024-08-25,Karnataka,Bengaluru Urban,113,216,54,105,57,11,33,9,0
2024-08-26,Karnataka,Bengaluru Urban,129,206,59,81,66,7,21,7,3
2024-08-27,Karnataka,Bengaluru Urban,120,219,82,71,66,7,21,6,3
2024-08-28,Karnataka,Bengaluru Urban,113,250,78,99,73,5,20,7,8
2024-08-29,Karnataka,Bengaluru Urban,128,232,88,80,64,6,12,9,14
2024-08-30,Karnataka,Bengaluru Urban,108,219,79,106,34,10,20,8,8
2024-08-31,Karnataka,Bengaluru Urban,128,234,73,100,61,10,30,8,0
2024-09-01,Karnataka,Bengaluru Urban,111,237,86,79,72,13,39,8,0
2024-09-02,Karnataka,Bengaluru Urban,124,249,64,122,63,15,30,9,1
2024-09-03,Karnataka,Bengaluru Urban,120,235,89,95,51,15,60,8,0
2024-09-04,Karnataka,Bengaluru Urban,115,231,58,77,96,7,14,9,8
2024-09-05,Karnataka,Bengaluru Urban,111,206,58,95,53,7,14,9,6
2024-09-06,Karnataka,Bengaluru Urban,125,230,83,113,34,8,24,9,3
2024-09-07,Karnataka,Bengaluru Urban,121,244,91,94,59,14,42,6,0
2024-09-08,Karnataka,Bengaluru Urban,121,231,60,102,69,9,36,9,0
2024-09-09,Karnataka,Bengaluru Urban,107,208,62,65,81,11,44,9,0
2024-09-10,Karnataka,Bengaluru Urban,120,208,56,67,85,12,48,7,0
2024-09-11,Karnataka,Bengaluru Urban,102,200,61,84,55,7,28,9,0
2024-09-12,Karnataka,Bengaluru Urban,104,235,74,98,63,13,52,7,0
2024-09-13,Karnataka,Bengaluru Urban,124,216,77,99,40,7,21,6,2
2024-09-14,Karnataka,Bengaluru Urban,110,247,80,101,66,12,24,6,6
2024-09-15,Karnataka,Bengaluru Urban,103,201,51,98,52,9,27,9,0
2024-09-16,Karnataka,Bengaluru Urban,109,239,61,93,85,9,36,8,0
2024-09-17,Karnataka,Bengaluru Urban,118,233,88,113,32,13,26,7,1
2024-09-18,Karnataka,Bengaluru Urban,111,197,56,86,55,10,40,8,0
2024-09-19,Karnataka,Bengaluru Urban,123,228,67,87,74,10,40,9,0
2024-09-20,Karnataka,Bengaluru Urban,123,196,67,60,69,7,21,9,3
2024-09-21,Karnataka,Bengaluru Urban,103,200,51,63,86,14,28,9,0
2024-09-22,Karnataka,Bengaluru Urban,115,197,71,89,37,15,45,8,0
2024-09-23,Karnataka,Bengaluru Urban,116,211,63,102,46,11,44,9,0
2024-09-24,Karnataka,Bengaluru Urban,122,212,62,66,84,5,10,8,15
2024-09-25,Karnataka,Bengaluru Urban,101,235,64,105,66,8,24,7,4
2024-09-26,Karnataka,Bengaluru Urban,106,195,74,62,59,11,22,8,1
2024-09-27,Karnataka,Bengaluru Urban,110,209,66,84,59,6,12,8,6
2024-09-28,Karnataka,Bengaluru Urban,104,240,76,85,79,12,48,7,0
2024-09-29,Karnataka,Bengaluru Urban,111,197,66,83,48,9,27,6,0
2024-09-30,Karnataka,Bengaluru Urban,124,234,58,79,97,14,28,8,1
2024-10-01,Karnataka,Bengaluru Urban,111,241,72,74,95,12,36,8,0
2024-10-02,Karnataka,Bengaluru Urban,115,196,77,72,47,8,24,7,0
2024-10-03,Karnataka,Bengaluru Urban,113,235,68,90,77,8,16,6,12
2024-10-04,Karnataka,Bengaluru Urban,101,224,72,111,41,5,20,6,4
2024-10-05,Karnataka,Bengaluru Urban,110,224,77,110,37,10,20,6,9
2024-10-06,Karnataka,Bengaluru Urban,123,211,75,103,33,7,21,7,4
2024-10-07,Karnataka,Bengaluru Urban,125,227,88,112,27,8,16,8,7
2024-10-08,Karnataka,Bengaluru Urban,106,224,69,88,67,13,26,7,1
2024-10-09,Karnataka,Bengaluru Urban,119,232,84,84,64,9,27,7,2
2024-10-10,Karnataka,Bengaluru Urban,106,245,86,92,67,15,45,9,0
2024-10-11,Karnataka,Bengaluru Urban,112,221,73,109,39,13,39,9,0
2024-10-12,Karnataka,Bengaluru Urban,116,212,78,105,29,8,32,9,0
2024-10-13,Karnataka,Bengaluru Urban,109,214,56,78,80,9,36,9,0
2024-10-14,Karnataka,Bengaluru Urban,106,226,76,101,49,14,56,8,0
2024-10-15,Karnataka,Bengaluru Urban,123,245,85,89,71,15,60,7,0
2024-10-16,Karnataka,Bengaluru Urban,114,199,66,60,73,9,18,7,4
2024-10-17,Karnataka,Bengaluru Urban,113,236,82,81,73,9,27,9,2
2024-10-18,Karnataka,Bengaluru Urban,109,233,65,103,65,11,22,8,6
2024-10-19,Karnataka,Bengaluru Urban,105,245,61,88,96,13,52,7,0
2024-10-20,Karnataka,Bengaluru Urban,106,247,71,80,96,15,45,6,0
2024-10-21,Karnataka,Bengaluru Urban,115,238,91,74,73,10,40,7,0
2024-10-22,Karnataka,Bengaluru Urban,107,229,63,106,60,14,42,8,0
2024-10-23,Karnataka,Bengaluru Urban,103,227,69,101,57,12,48,8,0
2024-10-24,Karnataka,Bengaluru Urban,126,226,79,71,76,9,27,7,0
2024-10-25,Karnataka,Bengaluru Urban,102,238,93,112,33,15,30,6,0
2024-10-26,Karnataka,Bengaluru Urban,106,226,57,69,100,15,30,6,0
2024-10-27,Karnataka,Bengaluru Urban,121,226,68,100,58,13,39,9,0
2024-10-28,Karnataka,Bengaluru Urban,106,221,71,69,81,5,20,9,4
2024-10-29,Karnataka,Bengaluru Urban,123,237,71,73,93,9,18,8,5
2024-10-30,Karnataka,Bengaluru Urban,103,218,61,74,83,13,52,7,0
2024-10-31,Karnataka,Bengaluru Urban,110,223,78,100,45,14,56,7,0
2024-11-01,Karnataka,Bengaluru Urban,124,215,61,96,58,9,36,7,0
2024-11-02,Karnataka,Bengaluru Urban,104,241,76,81,84,13,26,6,3
2024-11-03,Karnataka,Bengaluru Urban,113,231,81,98,52,7,28,7,0
2024-11-04,Karnataka,Bengaluru Urban,117,242,65,85,92,8,16,6,9
2024-11-05,Karnataka,Bengaluru Urban,114,225,73,78,74,13,26,7,2
2024-11-06,Karnataka,Bengaluru Urban,107,232,73,84,75,11,33,7,0
2024-11-07,Karnataka,Bengaluru Urban,108,230,60,104,66,7,14,8,13
2024-11-08,Karnataka,Bengaluru Urban,118,216,60,101,55,9,36,7,0
2024-11-09,Karnataka,Bengaluru Urban,117,240,64,94,82,14,56,6,0
2024-11-10,Karnataka,Bengaluru Urban,112,242,79,92,71,10,20,7,4
2024-11-11,Karnataka,Bengaluru Urban,115,245,88,115,42,13,52,6,0
2024-11-12,Karnataka,Bengaluru Urban,113,222,74,84,64,9,18,8,11
2024-11-13,Karnataka,Bengaluru Urban,122,213,62,77,74,7,14,6,15
2024-11-14,Karnataka,Bengaluru Urban,119,236,61,77,98,12,36,7,0
2024-11-15,Karnataka,Bengaluru Urban,119,214,76,102,36,6,18,8,7
2024-11-16,Karnataka,Bengaluru Urban,109,256,76,94,86,7,14,7,11
2024-11-17,Karnataka,Bengaluru Urban,109,258,95,121,42,5,15,6,17
2024-11-18,Karnataka,Bengaluru Urban,117,255,101,107,47,8,24,7,3
2024-11-19,Karnataka,Bengaluru Urban,114,221,76,77,68,5,20,9,6
2024-11-20,Karnataka,Bengaluru Urban,130,215,71,74,70,9,27,8,0
2024-11-21,Karnataka,Bengaluru Urban,127,242,95,73,74,14,56,8,0
2024-11-22,Karnataka,Bengaluru Urban,115,265,83,117,65,7,14,8,10
2024-11-23,Karnataka,Bengaluru Urban,127,249,66,82,101,9,27,9,3
2024-11-24,Karnataka,Bengaluru Urban,116,257,72,80,105,8,16,9,15
2024-11-25,Karnataka,Bengaluru Urban,127,243,81,89,73,13,52,6,0
2024-11-26,Karnataka,Bengaluru Urban,113,268,102,90,76,13,52,7,0
2024-11-27,Karnataka,Bengaluru Urban,117,242,92,93,57,15,60,7,0
2024-11-28,Karnataka,Bengaluru Urban,134,256,100,77,79,10,30,8,1
2024-11-29,Karnataka,Bengaluru Urban,116,251,66,115,70,8,24,9,6
2024-11-30,Karnataka,Bengaluru Urban,115,261,97,102,62,10,30,9,2
2024-12-01,Karnataka,Bengaluru Urban,126,236,85,107,44,9,36,9,0
2024-12-02,Karnataka,Bengaluru Urban,131,229,59,107,63,12,48,9,0
2024-12-03,Karnataka,Bengaluru Urban,124,224,57,92,75,8,16,8,13
